Date,rain
1967-07,26.5
1967-08,4.9
1967-09,6.5
1967-10,18.0
1967-11,20.3
1967-12,0.0
1968-01,12.5
1968-02,4.8
1968-03,0.0
1968-04,0.0
1968-05,0.0
1968-06,0.0
1968-07,2.5
1968-08,25.0
1968-09,7.0
1968-10,9.0
1968-11,7.0
1968-12,25.0
1969-01,19.0
1969-02,23.5
1969-03,13.8
1969-04,0.0
1969-05,0.0
1969-06,0.0
1969-07,0.0
1969-08,13.5
1969-09,17.0
1969-10,24.0
1969-11,23.3
1969-12,7.0
1970-01,37.9
1970-02,17.6
1970-03,0.0
1970-04,0.0
1970-05,0.0
1970-06,0.0
1970-07,0.0
1970-08,12.9
1970-09,6.0
1970-10,21.3
1970-11,20.0
1970-12,31.0
1971-01,12.0
1971-02,24.4
1971-03,0.0
1971-04,0.0
1971-05,0.0
1971-06,0.0
1971-07,0.0
1971-08,0.0
1971-09,28.0
1971-10,4.5
1971-11,42.6
1971-12,2.8
1972-01,33.3
1972-02,16.3
1972-03,4.0
1972-04,0.0
1972-05,0.0
1972-06,0.0
1972-07,0.0
1972-08,31.0
1972-09,12.3
1972-10,15.0
1972-11,29.5
1972-12,32.4
1973-01,50.0
1973-02,12.5
1973-03,14.5
1973-04,0.0
1973-05,6.5
1973-06,0.0
1973-07,0.0
1973-08,10.0
1973-09,10.0
1973-10,4.5
1973-11,20.5
1973-12,29.5
1974-01,6.5
1974-02,0.0
1974-03,0.0
1974-04,0.2
1974-05,1.5
1974-06,0.0
1974-07,0.2692307692307692
1974-08,0.5384615384615384
1974-09,0.8076923076923077
1974-10,1.0769230769230769
1974-11,1.346153846153846
1974-12,1.6153846153846154
1975-01,1.8846153846153846
1975-02,2.1538461538461537
1975-03,2.423076923076923
1975-04,2.692307692307692
1975-05,2.9615384615384612
1975-06,3.230769230769231
1975-07,3.5
1975-08,0.0
1975-09,49.5
1975-10,23.3
1975-11,16.5
1975-12,17.5
1976-01,33.0
1976-02,30.0
1976-03,1.0
1976-04,0.0
1976-05,0.0
1976-06,0.0
1976-07,0.0
1976-08,7.0
1976-09,30.0
1976-10,26.0
1976-11,22.0
1976-12,33.0
1977-01,60.0
1977-02,6.0
1977-03,9.0
1977-04,0.0
1977-05,15.5
1977-06,0.0
1977-07,0.0
1977-08,41.5
1977-09,8.5
1977-10,41.5
1977-11,0.0
1977-12,2.0
1978-01,36.0
1978-02,3.0
